NCT_Number,Title,Sponsor,Status,Phases,Conditions
NCT01954381,Impact of Adalimumab Therapy on Brachial Endothelial Function and Large Artery Stiffness in Patients With Rheumatoid Arthritis,Assistance Publique Hopitaux De Marseille,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT05153200,"Early Changes in Pain, Disease Activity, and Ultrasound Evidence of Inflammatory Synovitis in Patients Receiving JAK-inhibitor vs. TNF-inhibitor Therapy for Active Rheumatoid Arthritis: A Feasibility Study.",Ottawa Hospital Research Institute,UNKNOWN,PHASE4,Rheumatoid Arthritis
NCT01706692,Swiss Dermatology Network of Targeted Therapies (SDNTT),Swiss Dermatology Network for Targeted Therapies,RECRUITING,N/A,Psoriasis
NCT05411211,An Observational Study to Assess Change in Disease Activity and Adverse Events of Adalimumab in Chinese Pediatric Participants With Polyarticular Juvenile Idiopathic Arthritis (pJIA),AbbVie,COMPLETED,N/A,Polyarticular Juvenile Idiopathic Arthritis
NCT01436019,Study of Antibodies to Anti-TNF Agents in Juvenile Idiopathic Arthritis,Blood Transfusion Centre of Slovenia,UNKNOWN,N/A,Juvenile Idiopathic Arthritis
NCT02526992,Evaluation by HR-pQCT of Bone Microarchitecture Changes in Patients With Rheumatoid Arthritis Under Anti-TNF Therapy.,Centre Hospitalier Universitaire de Saint Etienne,TERMINATED,NA,Rheumatoid Arthritis
NCT02097264,A Trial Investigating the Mechanism of Action of NNC0109-0012 (Anti-IL-20 mAb) Through Synovial Biopsies in Subjects With Rheumatoid Arthritis and an Inadequate Response to Methotrexate,Novo Nordisk A/S,WITHDRAWN,PHASE2,Inflammation | Rheumatoid Arthritis
NCT04527380,A Study of Ixekizumab (LY2439821) in Children With Juvenile Idiopathic Arthritis Categories of Enthesitis-related Arthritis (Including Juvenile Onset Ankylosing Spondylitis) and Juvenile Psoriatic Arthritis,Eli Lilly and Company,ACTIVE_NOT_RECRUITING,PHASE3,Juvenile Psoriatic Arthritis | Enthesitis Related Arthritis
NCT07348588,Intravitreal Adalimumab in Inherited and Degenerative Retinal Diseases,Centro de Pesquisa Rubens Siqueira,ACTIVE_NOT_RECRUITING,PHASE1 | PHASE2,Retinitis Pigmentosa (RP) | Extensive Macular Atrophy With Pseudodrusen (EMAP)
NCT02260791,A Study to Compare FKB327 Efficacy and Safety With Humira® in Rheumatoid Arthritis Patients,"Fujifilm Kyowa Kirin Biologics Co., Ltd.",COMPLETED,PHASE3,"Arthritis, Rheumatoid"
