NCT_Number,Title,Sponsor,Status,Phases,Conditions
NCT06016517,Application of the Personalized N-of-1 Trial Design in Patients With Rheumatoid Arthritis,Tufts Medical Center,NOT_YET_RECRUITING,N/A,"Arthritis, Rheumatoid"
NCT01736189,Assessment of Clinical Effectiveness and Safety of Adalimumab and High Dose Methotrexate in Routine Clinical Practice,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis
NCT00939003,Study of Adalimumab in Patients With Axial Spondyloarthritis,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Axial Spondyloarthritis
NCT02833350,Safety and Efficacy Study of GDC-0853 Compared With Placebo and Adalimumab in Participants With Rheumatoid Arthritis (RA),"Genentech, Inc.",COMPLETED,PHASE2,Rheumatoid Arthritis
NCT06339216,A Clinical Study of Adebrelimab Combined With Apatinib and Paclitaxel in Patients With Advanced Gastric Cancer.,Chinese PLA General Hospital,NOT_YET_RECRUITING,PHASE2,Gastric Cancer
NCT04171414,A Study to Evaluate Usability of Subcutaneous Auto-injector of CT-P17 in Patients With Active Rheumatoid Arthritis,Celltrion,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT02054533,Study to Determine Risk Factors for Post-operative Infection in Inflammatory Bowel Disease,Icahn School of Medicine at Mount Sinai,COMPLETED,N/A,Crohn's Disease | Ulcerative Colitis
NCT02619552,Impact of Medical Treatment on Sexual Function in Patients With Crohn's Disease,"University of Maryland, Baltimore",COMPLETED,N/A,Crohn's Disease | IBD
NCT05590455,Tnf Inhibitors to Reduce Mortality in HIV-1 Infected PAtients With Tuberculosis meNIngitis,"ANRS, Emerging Infectious Diseases",RECRUITING,PHASE2,Tuberculous Meningitis | HIV I Infection
NCT00783510,Juvenile Idiopathic Arthritis (JIA) Registry,AbbVie,COMPLETED,N/A,Juvenile Idiopathic Arthritis | JIA
NCT05379049,Therapeutic Response to Tumor Necrosis Factor-alpha (TNF-alpha) Antagonists in Rheumatoid Arthritis.,University of Sulaimani,UNKNOWN,N/A,Rheumatoid Arthritis | Inflammatory Arthritis | Ankylosing Spondylitis
NCT01078155,Evaluation of the Role of Adalimumab on Extraarticular Manifestation - Bone Metabolism and Bone Mineral Density in Patients With Active Rheumatoid Arthritis,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis | Osteoporosis
NCT00918255,Study of Adalimumab in Subjects With Moderate to Severe Chronic Hidradenitis Suppurativa,Abbott,COMPLETED,PHASE2,Hidradenitis Suppurativa
NCT02113904,Clinical Trial Using Humira in Netherton Syndrome,Assistance Publique - Hôpitaux de Paris,COMPLETED,PHASE2,Netherton Syndrome
NCT02122406,Depression and Anxiety in Rheumatoid Arthritis,University of Pavia,COMPLETED,N/A,Rheumatoid Arthritis | Depression | Anxiety
NCT01078610,Safety and Effectiveness and Effect on Quality of Life and Work Productivity of Humira in Patients With Psoriatic Arthritis in Clinical Routine,Abbott,WITHDRAWN,N/A,Psoriatic Arthritis
NCT01174186,Intestinal Inflammation in Ankylosing Spondylitis and the Effects of Adalimumab on Mucosal Healing,Regionshospitalet Silkeborg,COMPLETED,PHASE4,Spondyloarthritis | Enterocolitis
NCT00647920,Study of Adalimumab Administered as Subcutaneous Injections in Adult Chinese Rheumatoid Arthritis Subjects Treated With Methotrexate,Abbott,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT00796705,Switching Anti-TNF-Alpha Agents in Rheumatoid Arthritis (RA),National Institute of Allergy and Infectious Diseases (NIAID),TERMINATED,PHASE4,Rheumatoid Arthritis
NCT02332590,Efficacy and Safety of Sarilumab and Adalimumab Monotherapy in Patients With Rheumatoid Arthritis (SARIL-RA-MONARCH),Sanofi,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT01692899,"Retention Rates of Adalimumab, Etanercept and Infliximab as First and Second-Line Biotherapy in Patients With Rheumatoid Arthritis in Daily Practice",Pfizer,COMPLETED,N/A,Rheumatoid Arthritis
NCT03890445,Real-world Study of Anti-TNFa Treatment Regimes of Hyrimoz or Zessly in Patients With Crohn´s Disease,Sandoz,COMPLETED,N/A,Crohn´s Disease
NCT06604728,Effectiveness and Tolerance of IV vs SC Biological Drugs in Gastrointestinal Diseases,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,RECRUITING,N/A,Inflammatory Bowel Diseases
NCT01866592,Vascular Inflammation in Psoriasis - Extension Study,University of Pennsylvania,COMPLETED,PHASE4,Psoriasis | Cardiovascular Disease
NCT05502731,Januse Kinase Inhibition With Filgotinib to Silence Autoreactive B Cells in Rheumatoid Arthritis,Leiden University Medical Center,UNKNOWN,PHASE4,Rheumatoid Arthritis
NCT00195702,Efficacy and Safety of Adalimumab in Patients With Active Rheumatoid Arthritis Treated Concomitantly With Methotrexate.,Abbott,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT06037811,Early Adalimumab Induction for Immune Checkpoint Inhibitor Associated Inflammatory Arthritis,Tom Appleton,RECRUITING,PHASE2,Inflammatory Arthritis | Immune-related Adverse Event
NCT03505892,A Study to Investigate the Clinical REsponses in Ankylosing Spondylitis Patients on Adalimumab Therapy in Taiwan (EAST),AbbVie,COMPLETED,N/A,Ankylosing Spondylitis (AS)
NCT00799877,Chronic Plaque Psoriasis (Ps) Registry,AbbVie,COMPLETED,N/A,Chronic Plaque Psoriasis
NCT03906136,AScalate: Treat-to-target in Axial Spondyloarthritis,Novartis Pharmaceuticals,COMPLETED,PHASE3,Axial Spondyloarthritis
NCT00690911,Study to Determine the Efficacy of Adalimumab in the Treatment of Cutaneous Sarcoidosis,Wake Forest University,WITHDRAWN,PHASE2,Sarcoidosis
NCT00731757,Efficacy Study of Humira in the Treatment of Cutaneous Sarcoidosis,Wright State University,WITHDRAWN,PHASE2,Sarcoidosis | Cutaneous Sarcoidosis
NCT05871086,Coenzyme Q10 in Juvenile Idiopathic Arthritis Patients,Nourhan Elsherif,UNKNOWN,PHASE2 | PHASE3,Juvenile Idiopathic Arthritis
NCT02489760,Etanercept Versus Adalimumab in the Treatment of Patients With Ankylosing Spondylitis. A Switch Study,Chung Shan Medical University,UNKNOWN,PHASE4,Ankylosing Spondylitis
NCT00550446,A Phase 2 Study For Patients With A Physician's Diagnosis Of Rheumatoid Arthritis,Pfizer,COMPLETED,PHASE2,"Arthritis, Rheumatoid"
NCT01144156,Small Bowel Mucosal Healing Induced by Adalimumab in Crohn's Disease Patients as Assessed by Capsule Endoscopy,Rabin Medical Center,UNKNOWN,NA,Crohn's Disease
NCT01901627,A Multicenter Registry of Adalimumab in Chinese Adult Patients With Active Ankylosing Spondylitis,Peking Union Medical College Hospital,UNKNOWN,N/A,"Spondylitis, Ankylosing"
NCT00298272,Safety and Tolerability of Rituxan With Methotrexate and Etanercept or Methotrexate and Adalimumab in Patients With Active Rheumatoid Arthritis,Biogen,TERMINATED,PHASE2,Rheumatoid Arthritis
NCT05633771,"Observational Study, to Assess Treatment Retention of an Adalimumab Biosimilar (Hyrimoz®) in IBD Patients in Real Life Setting",Sandoz,ACTIVE_NOT_RECRUITING,N/A,Inflammatory Bowel Disease
NCT00780793,Spacing of TNF-blocker Injections in Rheumatoid Arthritis Study,Assistance Publique - Hôpitaux de Paris,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT02871635,"BI 695501 Versus Humira in Patients With Active Crohn's Disease: a Trial Comparing Efficacy, Endoscopic Improvement, Safety, and Immunogenicity",Boehringer Ingelheim,COMPLETED,PHASE3,Crohn Disease
NCT03155243,"Impact of Humira® Therapy on Ocular Inflammation, Selected Health Care Resource Utilization and Patient Reported Outcomes in Patients With Active Non-infectious Intermediate, Posterior and Panuveitis in Routine Clinical Practice",AbbVie,COMPLETED,N/A,Uveitis
NCT03964649,Comparative Analysis of Outcomes Among Patients Treated With Xeljanz vs Biologics,Pfizer,COMPLETED,N/A,"Arthritis, Rheumatoid"
NCT01405326,REstore Working Ability in RheumatoiD Arthritis,The Rheumatological Center of Helsinki,UNKNOWN,PHASE4,Rheumatoid Arthritis
NCT01072058,Heart Function in Rheumatoid Arthritis and Ankylosing Spondylitis Pre and Post-TNF Blocker,University of Sao Paulo,UNKNOWN,PHASE4,"Arthritis, Rheumatoid | Spondylitis, Ankylosing"
NCT01860963,Anal Dysplasia in Patients With Inflammatory Bowel Disease and Healthy Controls,Stanford University,COMPLETED,NA,Anal Squamous Intraepithelial Lesion (ASIL) | HPV DNA
NCT05040464,Comparison of Azathioprine to Methotrexate in Combination Therapy With Adalimumab in Crohn's Disease: an Open-label Randomized Controlled Trial,"Centre Hospitalier Universitaire, Amiens",RECRUITING,PHASE3,Crohn Disease | Azathioprine | Methotrexate
NCT01965132,Korean College of Rheumatology Biologics and Targeted Therapy Registry,Seoul National University Hospital,RECRUITING,N/A,Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis
NCT02252809,Effect of Anti-Inflammatory Agents on Biological Responses to Endotoxin Inhalation in Healthy Subjects,Brugmann University Hospital,COMPLETED,EARLY_PHASE1,Innate Immunity
NCT05510063,"Pharmacokinetics, Efficacy, Safety, and Immunogenicity of SB5 Versus Humira in Subjects With Moderate to Severe Chronic Plaque Psoriasis","Samsung Bioepis Co., Ltd.",COMPLETED,PHASE4,Plaque Psoriasis
NCT01468207,Efficacy and Safety Study of Adalimumab in Treatment of Hidradenitis Suppurativa,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Hidradenitis Suppurativa (HS)
NCT05372939,Study of the Efficacy and Safety of AMT-101 in Combination With Adalimumab in Subjects With Ulcerative Colitis (MARKET),Applied Molecular Transport,COMPLETED,PHASE2,Ulcerative Colitis
NCT02035800,"Bone Resorption, Osteoclastogenesis and Adalimumab",Université de Sherbrooke,UNKNOWN,PHASE4,RheumatoId Arthritis
NCT05683626,Safety and Efficacy of Adalimumab Therapy for Treatment of Behcet's Disease-related Uveitis in Sohag University Hospital,Sohag University,UNKNOWN,N/A,Uveitis
NCT07388446,MAIT Cells in Hidradenitis Suppurativa,Hospices Civils de Lyon,NOT_YET_RECRUITING,NA,Hidradenitis Suppurativa (HS)
NCT00185562,A Pilot Trial of Adalimumab for the Treatment of Osteoarthritis,Stanford University,COMPLETED,PHASE2,Osteoarthritis
NCT01464333,Special Investigation (Long-term Investigation) in Patients With Crohn's Disease,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Crohn's Disease
NCT03938701,Fluorescence Imaging of IBD and RA Using Adalimumab-800CW,University Medical Center Groningen,RECRUITING,PHASE2,IBD | Rheumatoid Arthritis
NCT05414201,"A Study to Assess Change in Disease Activity and Adverse Events of Adalimumab in Chinese Participants Requiring High Dose Corticosteroids for Active Non-Infectious Intermediate, Posterior, or Pan-Uveitis",AbbVie,COMPLETED,PHASE4,Non-infectious Intermediate Posterior- or Pan-uveitis
NCT02147600,Therapeutic Drug Monitoring of Adalimumab in Psoriasis Patients,"University Hospital, Ghent",COMPLETED,N/A,Psoriasis
NCT02750800,"Post-marketing Observational Study to Evaluate the Incremental Impact of AbbVie's Patient Support Program on Patient Reported Outcomes and Health Resource Utilization in Inflammatory Arthritis, Psoriasis and Inflammatory Bowel Diseases in Hungary (VALUE)",AbbVie,COMPLETED,N/A,Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis | Psoriasis | Crohn's Disease | Ulcerative Colitis
NCT04200547,Interest of the Dosage of Adalimumab Serum Levels in Crohn's Disease Patients for Prevention of Postoperative Recurrence,"University Hospital, Montpellier",TERMINATED,NA,Crohn Disease
NCT03970824,To Compare the Pharmacokinetics and Safety of CT-P17 and Humira in Healthy Subjects,Celltrion,COMPLETED,PHASE1,Healthy
NCT01691014,Formation of Antibodies and Subsequent Prediction of Clinical Response in Patients With Rheumatoid Arthritis Treated With Four TNF Blocking Agents,Pfizer,TERMINATED,N/A,Rheumatoid Arthritis (RA)
NCT00595413,Atacicept in Anti-Tumor Necrosis Factor Alpha-naïve Subjects With Rheumatoid Arthritis (AUGUST II),EMD Serono,COMPLETED,PHASE2,Rheumatoid Arthritis
NCT02322723,Real Life Evaluation of Rheumatoid Arthritis Patients in Israel Treated With HUMIRA,AbbVie,WITHDRAWN,N/A,Rheumatoid Arthritis
NCT05928754,"Prospective CoHoRt Of Non-infectious Intermediate, pOsterior or panuveitiS",Centre Hospitalier National d'Ophtalmologie des Quinze-Vingts,NOT_YET_RECRUITING,NA,Non-infectious Uveitis
NCT04194827,Adalimumab Drug Optimisation in Rheumatoid Arthritis Using Therapeutic Drug Monitoring,Reade Rheumatology Research Institute,RECRUITING,PHASE4,Rheumatoid Arthritis
NCT03151551,A Study of Ixekizumab (LY2439821) Versus Adalimumab in Participants With Psoriatic Arthritis,Eli Lilly and Company,COMPLETED,PHASE4,Psoriatic Arthritis
NCT05427942,"Yuflyma® (Adalimumab), Patient Experience After Switching",Celltrion HealthCare France,UNKNOWN,N/A,Rheumatoid Arthritis | Ankylosing Spondylarthritis | Axial Spondyloarthritis Without Radiographic Evidence of Ankylosing Spondylitis | Psoriatic Arthritis | Crohn Disease | Ulcerative Colitis
NCT05115903,Biologic Tapering Study of TNF Inhibitors in Axial Spondyloarthritis,"University Health Network, Toronto",UNKNOWN,PHASE4,Axial Spondyloarthritis
NCT00311246,Trial of Adalimumab in Progressive Sarcoidosis,University of Chicago,TERMINATED,PHASE2,Sarcoidosis
NCT05240859,Real World Study of a Adalimumab Biosimilar (Geleli) in Rheumatoid Arthritis,Peking University People's Hospital,UNKNOWN,N/A,Rheumatoid Arthritis
NCT03099083,Real-World Outcome of Psoriasis Subjects in Korea on Adalimumab,AbbVie,COMPLETED,N/A,Psoriasis
NCT01494857,Efficacy and Safety of Adalimumab for the Induction of Clinical Response in Ulcerative Colitis,Clalit Health Services,UNKNOWN,PHASE3,Ulcerative Colitis
NCT03925441,Post-Marketing Surveillance Study of Adalimumab in Pediatric Chronic Severe Plaque Psoriasis Patients in Korea,AbbVie,COMPLETED,N/A,Psoriasis
NCT04131322,"Loss of Response of Adalimumab Biosimilar vs Adalimumab Original, in Inflammatory Bowel Disease.",Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,TERMINATED,PHASE4,Crohn Disease | Ulcerative Colitis
NCT04909801,"A Study to Compare the Response to Treatment With Abatacept vs Adalimumab, on Background Methotrexate, in Adults With Early, Seropositive, and Shared Epitope-positive Rheumatoid Arthritis and an Inadequate Response to Methotrexate",Bristol-Myers Squibb,ACTIVE_NOT_RECRUITING,PHASE3,Rheumatoid Arthritis
NCT01088165,The Influence of Adalimumab on Cardiovascular and Metabolic Risk in Psoriasis,Medical University of Vienna,UNKNOWN,PHASE4,"Psoriasis | Cardiovascular Diseases | Diabetes Mellitus, Type 2"
NCT01585064,Optimization of Treatment With Adalimumab (Humira),London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,COMPLETED,N/A,Rheumatoid Arthritis (RA)
NCT01664117,An Observational Study in Clinical Practice Management of Patients With Biological Drugs in Monotherapy,Hoffmann-La Roche,COMPLETED,N/A,Rheumatoid Arthritis
NCT01712178,"A Study in Rheumatoid Arthritis (RA) Patients to Compare Two Formulations of Adalimumab for Pharmacokinetic, Pharmacodynamic and Safety","AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE2,Rheumatoid Arthritis
NCT02565810,An Multicentre Clinical Study to Evaluate the Usability and Safety of the Pre-filled Pen and Pre-filled Syringe of SB5 in Subjects With Rheumatoid Arthritis,"Samsung Bioepis Co., Ltd.",COMPLETED,PHASE2,Rheumatoid Arthritis
NCT01947816,Special Investigation in Patients With Ulcerative Colitis,AbbVie,COMPLETED,N/A,Ulcerative Colitis
NCT03983876,"PK, Safety and Tolerability Study of AVT02 (Adalimumab) Pre-filled Syringe (PFS) vs, AVT02 Autoinjector (AI)",Alvotech Swiss AG,COMPLETED,PHASE1,Phase 1
NCT01698307,Enhanced Algorithm for Crohn's Treatment Incorporating Early Combination Therapy,Alimentiv Inc.,COMPLETED,PHASE4,Crohn's Disease
NCT00234884,Post-marketing Observational Study in Subjects With Rheumatoid Arthritis,Abbott,COMPLETED,N/A,Rheumatoid Arthritis
NCT01083680,Effectiveness and Safety in Patients With Crohn´s Disease in Clinical Routine,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Crohn's Disease
NCT01064856,Study of Adalimumab in Participants With Peripheral Spondyloarthritis (SpA),"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Peripheral Spondyloarthritis
NCT01029613,"Adalimumab in Rheumatoid Arthritis. An Investigation of Wholebody MRI, Conventional MRI, CT and Circulating Biomarkers","Glostrup University Hospital, Copenhagen",COMPLETED,N/A,Rheumatoid Arthritis
NCT07491913,Biologic Treatment Withdrawal in Takayasu Arteritis Patients in Sustained Remission,Marmara University,RECRUITING,NA,Takayasu Arteritis
NCT04200833,Golimumab in Juvenile Idiopathic Arthritis-associated Uveitis Failing Adalimumab,Medical University of Graz,COMPLETED,N/A,JIA Associated Uveitis
NCT00525902,Adalimumab (Humira) in the Treatment of Refractory Non-infectious Uveitis,Oregon Health and Science University,COMPLETED,PHASE2,Uveitis
NCT02586831,Diabetes Islet Preservation Immune Treatment,Camillo Ricordi and Jay Skyler,WITHDRAWN,PHASE1 | PHASE2,"Diabetes Mellitus, Type 1 | Hypoglycemia | Autoimmune Diseases | Diabetes Mellitus"
NCT00775437,Active Juvenile Idiopathic Arthritis (JIA) Compassionate Use,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Juvenile Idiopathic Arthritis
NCT05640245,Evaluation of Sonelokimab for the Treatment of Patients With Active Psoriatic Arthritis,MoonLake Immunotherapeutics AG,COMPLETED,PHASE2,"Arthritis, Psoriatic"
NCT00870467,A Study of Adalimumab in Japanese Subjects With Rheumatoid Arthritis,Abbott,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT01273519,"Assessment of Pain Management in Rheumatoid Arthritis, Psoriatic Arthritis and Ankylosing Spondylitis Patients Who Are About to be Treated With Adalimumab","AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis
NCT01078402,"EValuation of HumIRA® in Patients With Active Rheumatoid Arthritis, Psoriatic Arthritis and Ankylosing Spondylitis in EASTern European Countries","AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Ankylosing Spondylitis (AS) | Psoriatic Arthritis (PsA | Rheumatoid Arthritis (RA
NCT02983227,A Study to Evaluate the Long-Term Safety and Efficacy of GDC-0853 in Participants With Moderate to Severe Rheumatoid Arthritis Enrolled in Study GA29350,"Genentech, Inc.",COMPLETED,PHASE2,Rheumatoid Arthritis
NCT01506661,Safety of Zostavax Vaccination in Rheumatoid Arthritis,Oklahoma Medical Research Foundation,COMPLETED,PHASE1,Rheumatoid Arthritis | Varicella Zoster
NCT05135221,Combination Therapy With Two Biologicals,Tampere University Hospital,COMPLETED,N/A,IBD
NCT03397108,Assessing the Drug Exposure Risk of Infants Breastfed by Women With Inflammatory Bowel Disease,The Hospital for Sick Children,COMPLETED,N/A,Crohn's Disease | Ulcerative Colitis | Healthy Controls
NCT01635764,Open-label Study of the Safety and Efficacy of Adalimumab in the Treatment of Hidradenitis Suppurativa,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Hidradenitis Suppurativa
NCT00646178,Study of the Safety and Efficacy of Adalimumab in Subjects With Moderate to Severely Active Psoriatic Arthritis Subjects With Inadequate Response to Disease Modifying Anti-Rheumatic Drug Therapy,Abbott,COMPLETED,PHASE3,Arthritis | Psoriatic
NCT00085644,Human Anti-tumor Necrosis Factor (TNF) Monoclonal Antibody Adalimumab in Subjects With Active Ankylosing Spondylitis,Abbott,COMPLETED,PHASE3,Ankylosing Spondylitis
NCT00235105,D2E7-Early AS,"Charite University, Berlin, Germany",UNKNOWN,PHASE2 | PHASE3,Ankylosing Spondylitis
NCT07398651,Apremilast and Adalimumab in Psoriatic Arthritis Patients,Tanta University,NOT_YET_RECRUITING,NA,Psoriatic Arthritis | Ultrasound Assessment | TNF
NCT00048542,Study of Human Anti-TNF Monoclonal Antibody Adalimumab in Children With Polyarticular Juvenile Idiopathic Arthritis (JIA),Abbott,COMPLETED,PHASE3,"Arthritis, Juvenile Idiopathic"
NCT02746380,A Study Comparing LBAL to Humira® in Subjects With Active Rheumatoid Arthritis Despite Methotrexate Therapy,LG Life Sciences,COMPLETED,PHASE3,"Arthritis, Rheumatoid"
NCT02629159,A Study Comparing Upadacitinib (ABT-494) to Placebo and to Adalimumab in Adults With Rheumatoid Arthritis Who Are on a Stable Dose of Methotrexate and Who Have an Inadequate Response to Methotrexate,AbbVie,ACTIVE_NOT_RECRUITING,PHASE3,Rheumatoid Arthritis
NCT05696106,Risk of Incident IMID in Patients Treated With Biologics and Immunosuppressive Drugs for a Single IMID,Assistance Publique - Hôpitaux de Paris,UNKNOWN,N/A,Inflammatory Disease
NCT03915964,A Study of Baricitinib (LY3009104) in Participants With Rheumatoid Arthritis,Eli Lilly and Company,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT04009668,Tumor Necrosis Factor Inhibition in Focal Segmental Glomerulosclerosis and Treatment Resistant Minimal Change Disease,University of Michigan,COMPLETED,PHASE2,FSGS | MCD | Focal Segmental Glomerulosclerosis | Minimal Change Disease
NCT01845818,Study in Ankylosing Spondylitis (AS) and Psoriatic Arthritis (PsA) Patients to Evaluate Work Productivity Before and After the Start of Adalimumab Therapy in Daily Practice in Belgium,AbbVie,COMPLETED,N/A,Ankylosing Spondylitis | Psoriatic Arthritis
NCT01610947,Effect of Spacing of Anti-TNF Drugs in Ankylosing Spondylitis With Low Disease Activity,"University Hospital, Montpellier",COMPLETED,NA,Spondyloarthritis
NCT01877668,Efficacy And Safety Of Tofacitinib In Psoriatic Arthritis: Comparator Study,Pfizer,COMPLETED,PHASE3,Psoriatic Arthritis
NCT07061574,A Randomized Phase 1/2 Trial of Low Dose Anti-thymocyte Globulin (ATG) With Subsequent Adalimumab or Verapamil in New Onset Type 1 Diabetes,City of Hope Medical Center,RECRUITING,PHASE1 | PHASE2,Type 1 Diabetes | New Onset
NCT02793778,Efficacy of CROWN in Repair and Maintenance of the Intestinal Mucosa in Patients With CD Receiving Anti-TNF Therapy,Prometheus Laboratories,TERMINATED,PHASE2,Crohn's Disease
NCT02141997,A Study to Investigate the Safety and Efficacy of ABT-122 Given With Methotrexate in Subjects With Active Rheumatoid Arthritis Who Have an Inadequate Response to Methotrexate,AbbVie,COMPLETED,PHASE2,Rheumatoid Arthritis
NCT02840175,Treatment Tapering in JIA With Inactive Disease,Assistance Publique - Hôpitaux de Paris,COMPLETED,PHASE3,Juvenile Idiopathic Arthritis
NCT01602302,Ultrasound and Withdrawal of Biological DMARDs in Rheumatoid Arthritis,Medical University of Graz,TERMINATED,PHASE4,Rheumatoid Arthritis
NCT00650156,Pharmacokinetic and Safety Study With Adalimumab in Chinese Subjects With Mild Rheumatoid Arthritis,AbbVie,COMPLETED,PHASE1,Rheumatoid Arthritis
NCT03894956,Observational Study Evaluating Long-Term Safety and Effectiveness of Humira in Patients With Hidradenitis Suppurativa,AbbVie,COMPLETED,N/A,Hidradenitis Suppurativa (HS)
NCT04453137,"Pharmacokinetic, Efficacy, Safety, and Immunogenicity of AVT02 With Moderate to Severe Chronic Plaque Psoriasis",Alvotech Swiss AG,COMPLETED,PHASE3,Plaque Psoriasis
NCT01502423,A Crossover Study of the Safety and Tolerability of Two Formulations of Adalimumab,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE2,Rheumatoid Arthritis
NCT02889796,Filgotinib in Combination With Methotrexate in Adults With Moderately to Severely Active Rheumatoid Arthritis Who Have an Inadequate Response to Methotrexate,Gilead Sciences,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT01000441,Rotation or Change of Biotherapy After First Anti-TNF Treatment Failure for Rheumatoid Arthritis,"University Hospital, Strasbourg, France",COMPLETED,PHASE4,Rheumatoid Arthritis
NCT03759288,An Active and Placebo-Controlled Study of Brazikumab in Participants With Moderately to Severely Active Crohn's Disease,AstraZeneca,TERMINATED,PHASE2 | PHASE3,Crohn's Disease | IBD
NCT01971970,Biomarkers of Anti-TNF Treatment in Inflammatory Bowel Disease (IBD),Erasmus Medical Center,COMPLETED,N/A,Inflammatory Bowel Diseases
NCT01657513,TNF-alfa Inhibitors and Antibody Production in Patients With Psoriasis,"University Hospital, Gentofte, Copenhagen",UNKNOWN,NA,Psoriasis
NCT04028713,Dose Tapering Study of Adalimumab in Psoriasis,"University Hospital, Ghent",TERMINATED,PHASE4,Psoriasis Vulgaris
NCT03849313,"Pharmacokinetics, Safety and Tolerability Study of AVT02 to EU-approved and US-licensed Humira (Adalimumab)",Alvotech Swiss AG,COMPLETED,PHASE1,Healthy Volunteers
NCT03016260,RABIOPRED - a Validation Study of Theranostic Test to PREDict Treatment Response of Anti-TNFα BIologicals in Rheumatoid Arthritis,TcLand Expression S.A.,TERMINATED,N/A,RheumatoId Arthritis
NCT01382160,Serum Concentration of Adalimumab as a Predictive Factor of Clinical Outcomes in Rheumatoid Arthritis (AFORA),"University Hospital, Tours",COMPLETED,PHASE4,Rheumatoid Arthritis
NCT00827996,To Assess the Efficacy and Safety of Adalimumab in Subjects With Moderate to Severe Hidradenitis Suppurativa,Florida Academic Dermatology Centers,COMPLETED,PHASE2,Hidradenitis Suppurativa
NCT02134054,Stavanger IBD Study - Cross Sectional,Helse Stavanger HF,UNKNOWN,N/A,Inflammatory Bowel Disease
NCT02148718,Rapidity of Response to Adalimumab Treatment in Patients With Crohn´s Disease,AbbVie,COMPLETED,PHASE4,Moderate to Severe Crohn's Disease
NCT06058520,Capsule Microbiota Transplant Therapy for Hidradenitis Suppurativa,University of Minnesota,RECRUITING,EARLY_PHASE1,Hidradenitis Suppurativa
NCT04449224,Comparative Effectiveness of Targeted Therapy in RA Patients,Hanyang University,UNKNOWN,N/A,Rheumatoid Arthritis
NCT03679546,EFFICACI : EFFicacy of Intravenous Infliximab Versus Vedolizumab After Failure of subCutaneous Anti-TNF in Patients With UlCerative Colitis,Rennes University Hospital,COMPLETED,PHASE4,Ulcerative Colitis
NCT06498089,"A Randomized, Controlled, Open-label, Multicenter Clinical Trial Comparing the Efficacy and Safety of a Precision Treatment Regimen Based on Clinical-molecular Phenotypes with a Conventional Treatment Regimen in the Treatment of Patients with Active Takayasu's Arteritis",Shanghai Zhongshan Hospital,RECRUITING,PHASE4,Takayasu Arteritis
NCT02162472,Videocapillaroscopy Assessment During Systemic Agent Therapy in Psoriasis,Northwestern University,COMPLETED,N/A,Psoriasis
NCT05683054,A Non-inferiority Study on Dose Reduction of Adalimumab in Psoriasis Patients Who Are Overtreated,"University Hospital, Ghent",COMPLETED,PHASE4,Psoriasis
NCT04752748,Power Doppler in Hand Joints of Early RA Patients,Federal University of São Paulo,COMPLETED,N/A,Early Rheumatoid Arthritis
NCT06941376,An Open-Label Study of Effectiveness of Immunomodulatory Medications for Patients With Relapsing Polychondritis,University of Pennsylvania,RECRUITING,PHASE2,Relapsing Polychondritis
NCT01428115,Reveal the Level of Anxiety in Patients With Crohn's Disease Receiving Adalimumab,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Severe Crohn's Disease | Anxiety
NCT00049751,Study of Human Anti-TNF Monoclonal Antibody D2E7 in Subjects With Active Rheumatoid Arthritis,Abbott,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT01550965,"A Study to Evaluate the Impact of Adalimumab on Quality of Life, Health Care Utilization and Costs of Ulcerative Colitis Subjects in the Usual Clinical Practice Setting","AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Ulcerative Colitis
